# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:58:37 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50093045 LAGO PATILLAS AT DAMSITE NR PATILLAS, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50093045
#            TS   parameter     Description
#        124120       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        124121       00045     Precipitation, total, inches
#        124123       45592     Gate opening, height, feet, Gate 1
#        124124       45592     Gate opening, height, feet, Gate 2
#        124125       45592     Gate opening, height, feet, Gate 3
#        124126       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	124120_62614	124120_62614_cd	124121_00045	124121_00045_cd	124123_45592	124123_45592_cd	124125_45592	124125_45592_cd	124126_62616	124126_62616_cd
USGS	50093045	2017-11-05 20:45	AST	211.17	P	0.00	P	0.13	P	0.09	P	64.365	P
USGS	50093045	2017-11-05 21:00	AST	211.18	P	0.00	P	0.13	P	0.09	P	64.368	P
USGS	50093045	2017-11-05 21:15	AST	211.20	P	0.00	P	0.13	P	0.09	P	64.374	P
USGS	50093045	2017-11-05 21:30	AST	211.22	P	0.00	P	0.13	P	0.09	P	64.380	P
USGS	50093045	2017-11-05 21:45	AST	211.23	P	0.00	P	0.13	P	0.09	P	64.383	P
USGS	50093045	2017-11-05 22:00	AST	211.24	P	0.00	P	0.13	P	0.09	P	64.386	P
USGS	50093045	2017-11-05 22:15	AST	211.26	P	0.00	P	0.13	P	0.09	P	64.392	P
USGS	50093045	2017-11-05 22:30	AST	211.27	P	0.00	P	0.13	P	0.09	P	64.395	P
USGS	50093045	2017-11-05 22:45	AST	211.29	P	0.00	P	0.13	P	0.09	P	64.401	P
USGS	50093045	2017-11-05 23:00	AST	211.30	P	0.00	P	0.13	P	0.09	P	64.404	P
USGS	50093045	2017-11-05 23:15	AST	211.30	P	0.00	P	0.13	P	0.09	P	64.404	P
USGS	50093045	2017-11-05 23:30	AST	211.32	P	0.00	P	0.13	P	0.09	P	64.410	P
USGS	50093045	2017-11-05 23:45	AST	211.33	P	0.00	P	0.13	P	0.09	P	64.413	P
USGS	50093045	2017-11-06 00:00	AST	211.35	P	0.00	P	0.13	P	0.09	P	64.419	P
USGS	50093045	2017-11-06 00:15	AST	211.36	P	0.00	P	0.13	P	0.09	P	64.423	P
USGS	50093045	2017-11-06 00:30	AST	211.37	P	0.00	P	0.13	P	0.09	P	64.426	P
USGS	50093045	2017-11-06 00:45	AST	211.38	P	0.00	P	0.13	P	0.09	P	64.429	P
USGS	50093045	2017-11-06 01:00	AST	211.39	P	0.00	P	0.13	P	0.09	P	64.432	P
USGS	50093045	2017-11-06 01:11	AST	211.39	P	0.00	P					64.432	P
USGS	50093045	2017-11-06 01:15	AST	211.39	P	0.00	P	0.13	P	0.09	P	64.432	P
USGS	50093045	2017-11-06 01:30	AST	211.40	P	0.00	P	0.13	P	0.09	P	64.435	P
USGS	50093045	2017-11-06 01:45	AST	211.41	P	0.00	P	0.13	P	0.09	P	64.438	P
USGS	50093045	2017-11-06 02:00	AST	211.40	P	0.02	P	0.13	P	0.09	P	64.435	P
USGS	50093045	2017-11-06 02:15	AST	211.43	P	0.03	P	0.13	P	0.09	P	64.444	P
USGS	50093045	2017-11-06 02:30	AST	211.45	P	0.00	P	0.13	P	0.09	P	64.450	P
USGS	50093045	2017-11-06 02:45	AST	211.44	P	0.00	P	0.13	P	0.09	P	64.447	P
USGS	50093045	2017-11-06 03:00	AST	211.47	P	0.00	P	0.13	P	0.09	P	64.456	P
USGS	50093045	2017-11-06 03:15	AST	211.47	P	0.00	P	0.13	P	0.09	P	64.456	P
USGS	50093045	2017-11-06 03:30	AST	211.47	P	0.00	P	0.13	P	0.09	P	64.456	P
USGS	50093045	2017-11-06 03:45	AST	211.49	P	0.00	P	0.13	P	0.09	P	64.462	P
USGS	50093045	2017-11-06 04:00	AST	211.50	P	0.00	P	0.13	P	0.09	P	64.465	P
USGS	50093045	2017-11-06 04:15	AST	211.51	P	0.00	P	0.13	P	0.09	P	64.468	P
USGS	50093045	2017-11-06 04:30	AST	211.52	P	0.01	P	0.13	P	0.09	P	64.471	P
USGS	50093045	2017-11-06 04:45	AST	211.52	P	0.00	P	0.13	P	0.09	P	64.471	P
USGS	50093045	2017-11-06 05:00	AST	211.53	P	0.00	P	0.13	P	0.09	P	64.474	P
USGS	50093045	2017-11-06 05:15	AST	211.54	P	0.00	P	0.13	P	0.09	P	64.477	P
USGS	50093045	2017-11-06 05:30	AST	211.55	P	0.00	P	0.13	P	0.09	P	64.480	P
USGS	50093045	2017-11-06 05:45	AST	211.56	P	0.00	P	0.13	P	0.09	P	64.483	P
USGS	50093045	2017-11-06 06:00	AST	211.56	P	0.00	P	0.13	P	0.09	P	64.483	P
USGS	50093045	2017-11-06 06:15	AST	211.57	P	0.00	P	0.13	P	0.09	P	64.487	P
USGS	50093045	2017-11-06 06:30	AST	211.59	P	0.00	P	0.13	P	0.09	P	64.493	P
USGS	50093045	2017-11-06 06:45	AST	211.58	P	0.01	P	0.13	P	0.09	P	64.490	P
USGS	50093045	2017-11-06 07:00	AST	211.60	P	0.00	P	0.13	P	0.09	P	64.496	P
USGS	50093045	2017-11-06 07:15	AST	211.60	P	0.00	P	0.13	P	0.09	P	64.496	P
USGS	50093045	2017-11-06 07:30	AST	211.61	P	0.00	P	0.13	P	0.09	P	64.499	P
USGS	50093045	2017-11-06 07:45	AST	211.62	P	0.00	P	0.13	P	0.09	P	64.502	P
USGS	50093045	2017-11-06 08:00	AST	211.63	P	0.00	P	0.13	P	0.09	P	64.505	P
USGS	50093045	2017-11-06 08:15	AST	211.63	P	0.01	P	0.13	P	0.09	P	64.505	P
USGS	50093045	2017-11-06 08:30	AST	211.64	P	0.00	P	0.13	P	0.09	P	64.508	P
USGS	50093045	2017-11-06 08:45	AST	211.65	P	0.00	P	0.13	P	0.09	P	64.511	P
USGS	50093045	2017-11-06 09:00	AST	211.66	P	0.00	P	0.13	P	0.09	P	64.514	P
USGS	50093045	2017-11-06 09:11	AST	211.66	P	0.00	P					64.514	P
USGS	50093045	2017-11-06 09:15	AST	211.66	P	0.00	P	0.13	P	0.09	P	64.514	P
USGS	50093045	2017-11-06 09:30	AST	211.67	P	0.01	P	0.13	P	0.09	P	64.517	P
USGS	50093045	2017-11-06 09:45	AST	211.66	P	0.03	P	0.13	P	0.09	P	64.514	P
USGS	50093045	2017-11-06 10:00	AST	211.65	P	0.00	P	0.13	P	0.09	P	64.511	P
USGS	50093045	2017-11-06 10:15	AST	211.64	P	0.00	P	0.13	P	0.09	P	64.508	P
USGS	50093045	2017-11-06 10:30	AST	211.62	P	0.00	P	0.13	P	0.09	P	64.502	P
USGS	50093045	2017-11-06 10:45	AST	211.56	P	0.00	P	0.13	P	0.09	P	64.483	P
USGS	50093045	2017-11-06 11:00	AST	211.48	P	0.00	P	0.13	P	0.09	P	64.459	P
USGS	50093045	2017-11-06 11:15	AST	211.40	P	0.00	P	0.13	P	0.09	P	64.435	P
USGS	50093045	2017-11-06 11:30	AST	211.31	P	0.00	P	0.13	P	0.09	P	64.407	P
USGS	50093045	2017-11-06 11:45	AST	211.24	P	0.00	P	0.13	P	0.09	P	64.386	P
USGS	50093045	2017-11-06 12:00	AST	211.15	P	0.00	P	0.13	P	0.09	P	64.359	P
USGS	50093045	2017-11-06 12:15	AST	211.09	P	0.00	P	0.13	P	0.09	P	64.340	P
USGS	50093045	2017-11-06 12:30	AST	210.99	P	0.00	P	0.13	P	0.09	P	64.310	P
USGS	50093045	2017-11-06 12:45	AST	210.89	P	0.00	P	0.13	P	0.09	P	64.279	P
USGS	50093045	2017-11-06 13:00	AST	210.82	P	0.00	P	0.13	P	0.09	P	64.258	P
USGS	50093045	2017-11-06 13:15	AST	210.74	P	0.00	P	0.13	P	0.09	P	64.234	P
USGS	50093045	2017-11-06 13:30	AST	210.67	P	0.00	P	0.13	P	0.09	P	64.212	P
USGS	50093045	2017-11-06 13:45	AST	210.58	P	0.00	P	0.13	P	0.09	P	64.185	P
USGS	50093045	2017-11-06 14:00	AST	210.46	P	0.00	P	0.13	P	0.09	P	64.148	P
USGS	50093045	2017-11-06 14:15	AST	210.40	P	0.00	P	0.13	P	0.09	P	64.130	P
USGS	50093045	2017-11-06 14:30	AST	210.32	P	0.00	P	0.13	P	0.09	P	64.106	P
USGS	50093045	2017-11-06 14:45	AST	210.24	P	0.00	P	0.13	P	0.09	P	64.081	P
USGS	50093045	2017-11-06 15:00	AST	210.19	P	0.00	P	0.13	P	0.09	P	64.066	P
USGS	50093045	2017-11-06 15:15	AST	210.16	P	0.00	P	0.13	P	0.09	P	64.057	P
USGS	50093045	2017-11-06 15:30	AST	210.16	P	0.00	P	0.13	P	0.09	P	64.057	P
USGS	50093045	2017-11-06 15:45	AST	210.19	P	0.00	P	0.13	P	0.09	P	64.066	P
USGS	50093045	2017-11-06 16:00	AST	210.17	P	0.00	P	0.13	P	0.09	P	64.060	P
USGS	50093045	2017-11-06 16:15	AST	210.20	P	0.00	P	0.13	P	0.09	P	64.069	P
USGS	50093045	2017-11-06 16:30	AST	210.18	P	0.00	P	0.13	P	0.09	P	64.063	P
USGS	50093045	2017-11-06 16:45	AST	210.23	P	0.00	P	0.13	P	0.09	P	64.078	P
USGS	50093045	2017-11-06 17:00	AST	210.22	P	0.00	P	0.13	P	0.09	P	64.075	P
USGS	50093045	2017-11-06 17:11	AST	210.20	P	0.00	P					64.069	P
USGS	50093045	2017-11-06 17:15	AST	210.21	P	0.00	P	0.13	P	0.09	P	64.072	P
USGS	50093045	2017-11-06 17:30	AST	210.24	P	0.00	P	0.13	P	0.09	P	64.081	P
USGS	50093045	2017-11-06 17:45	AST	210.21	P	0.00	P	0.13	P	0.09	P	64.072	P
USGS	50093045	2017-11-06 18:00	AST	210.22	P	0.00	P	0.13	P	0.09	P	64.075	P
USGS	50093045	2017-11-06 18:15	AST	210.23	P	0.00	P	0.13	P	0.09	P	64.078	P
USGS	50093045	2017-11-06 18:30	AST	210.23	P	0.00	P	0.13	P	0.09	P	64.078	P
USGS	50093045	2017-11-06 18:45	AST	210.24	P	0.00	P	0.13	P	0.09	P	64.081	P
USGS	50093045	2017-11-06 19:00	AST	210.25	P	0.00	P	0.13	P	0.09	P	64.084	P
USGS	50093045	2017-11-06 19:10	AST	210.24	P	0.29	P					64.081	P
USGS	50093045	2017-11-06 19:12	AST	210.24	P	0.00	P					64.081	P
USGS	50093045	2017-11-06 19:15	AST	210.29	P			0.13	P	0.09	P	64.096	P
USGS	50093045	2017-11-06 19:21	AST	210.31	P	0.11	P					64.102	P
USGS	50093045	2017-11-06 19:22	AST	210.31	P	0.00	P					64.102	P
USGS	50093045	2017-11-06 19:30	AST	210.32	P	0.01	P	0.13	P	0.09	P	64.106	P
USGS	50093045	2017-11-06 19:45	AST	210.32	P	0.00	P	0.13	P	0.09	P	64.106	P
USGS	50093045	2017-11-06 20:00	AST	210.32	P	0.00	P	0.13	P	0.09	P	64.106	P
USGS	50093045	2017-11-06 20:15	AST	210.36	P	0.00	P	0.13	P	0.09	P	64.118	P
USGS	50093045	2017-11-06 20:30	AST	210.37	P	0.00	P	0.13	P	0.09	P	64.121	P
USGS	50093045	2017-11-06 20:45	AST	210.41	P	0.00	P	0.13	P	0.09	P	64.133	P
USGS	50093045	2017-11-06 21:00	AST	210.45	P	0.00	P	0.13	P	0.09	P	64.145	P
USGS	50093045	2017-11-06 21:15	AST	210.47	P	0.00	P	0.13	P	0.09	P	64.151	P
USGS	50093045	2017-11-06 21:30	AST	210.51	P	0.00	P	0.13	P	0.09	P	64.163	P
USGS	50093045	2017-11-06 21:45	AST	210.52	P	0.00	P	0.13	P	0.09	P	64.166	P
USGS	50093045	2017-11-06 22:00	AST	210.53	P	0.00	P	0.13	P	0.09	P	64.170	P
USGS	50093045	2017-11-06 22:15	AST	210.53	P	0.00	P	0.13	P	0.09	P	64.170	P
USGS	50093045	2017-11-06 22:30	AST	210.55	P	0.00	P	0.13	P	0.09	P	64.176	P
USGS	50093045	2017-11-06 22:45	AST	210.61	P	0.00	P	0.13	P	0.09	P	64.194	P
