# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:59:27 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50111210 LAGO TOA VACA AT DAMSITE NR VILLALBA, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50111210
#            TS   parameter     Description
#        124182       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#        124183       45592     Gate opening, height, feet, Gate 1
#        124184       45592     Gate opening, height, feet, Gate 2
#        124185       45592     Gate opening, height, feet, Gate 3
#        124186       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        124187       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	124182_62616	124182_62616_cd	124183_45592	124183_45592_cd	124184_45592	124184_45592_cd	124185_45592	124185_45592_cd	124186_62614	124186_62614_cd	124187_00045	124187_00045_cd
USGS	50111210	2017-11-05 06:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 06:15	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 06:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 06:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 07:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 07:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 07:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 07:45	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 08:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 08:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 08:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 08:45	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 09:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 09:15	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 09:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 09:45	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 10:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 10:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 10:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 10:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 11:00	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 11:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 11:30	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
USGS	50111210	2017-11-05 11:45	AST	162.221	P	0.01	P	0.00	P	0.00	P	532.22	P	0.00	P
USGS	50111210	2017-11-05 11:57	AST	162.230	P							532.25	P	0.25	P
USGS	50111210	2017-11-05 12:00	AST	162.230	P	0.01	P	0.00	P	0.00	P	532.25	P	0.03	P
USGS	50111210	2017-11-05 12:15	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 12:30	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 12:45	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 13:00	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 13:15	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 13:30	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 13:45	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 14:00	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 14:15	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 14:30	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 14:45	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 15:00	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 15:15	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 15:30	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 15:45	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 16:00	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 16:15	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 16:30	AST	162.233	P	0.01	P	0.00	P	0.00	P	532.26	P	0.00	P
USGS	50111210	2017-11-05 16:45	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 17:00	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 17:15	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 17:30	AST	162.236	P	0.01	P	0.00	P	0.00	P	532.27	P	0.00	P
USGS	50111210	2017-11-05 17:45	AST	162.239	P	0.01	P	0.00	P	0.00	P	532.28	P	0.00	P
USGS	50111210	2017-11-05 18:00	AST	162.239	P	0.01	P	0.00	P	0.00	P	532.28	P	0.00	P
USGS	50111210	2017-11-05 18:15	AST	162.239	P	0.01	P	0.00	P	0.00	P	532.28	P	0.00	P
USGS	50111210	2017-11-05 18:30	AST	162.239	P	0.01	P	0.00	P	0.00	P	532.28	P	0.00	P
USGS	50111210	2017-11-05 18:45	AST	162.239	P	0.01	P	0.00	P	0.00	P	532.28	P	0.00	P
USGS	50111210	2017-11-05 19:00	AST	162.242	P	0.01	P	0.00	P	0.00	P	532.29	P	0.00	P
USGS	50111210	2017-11-05 19:15	AST	162.242	P	0.01	P	0.00	P	0.00	P	532.29	P	0.00	P
USGS	50111210	2017-11-05 19:30	AST	162.242	P	0.01	P	0.00	P	0.00	P	532.29	P	0.00	P
USGS	50111210	2017-11-05 19:45	AST	162.245	P	0.01	P	0.00	P	0.00	P	532.30	P	0.00	P
USGS	50111210	2017-11-05 19:57	AST	162.248	P							532.31	P	0.00	P
USGS	50111210	2017-11-05 20:00	AST	162.248	P	0.01	P	0.00	P	0.00	P	532.31	P	0.00	P
USGS	50111210	2017-11-05 20:15	AST	162.251	P	0.01	P	0.00	P	0.00	P	532.32	P	0.00	P
USGS	50111210	2017-11-05 20:30	AST	162.251	P	0.01	P	0.00	P	0.00	P	532.32	P	0.00	P
USGS	50111210	2017-11-05 20:45	AST	162.251	P	0.01	P	0.00	P	0.00	P	532.32	P	0.00	P
USGS	50111210	2017-11-05 21:00	AST	162.251	P	0.01	P	0.00	P	0.00	P	532.32	P	0.00	P
USGS	50111210	2017-11-05 21:15	AST	162.251	P	0.01	P	0.00	P	0.00	P	532.32	P	0.00	P
USGS	50111210	2017-11-05 21:30	AST	162.254	P	0.01	P	0.00	P	0.00	P	532.33	P	0.00	P
USGS	50111210	2017-11-05 21:45	AST	162.254	P	0.01	P	0.00	P	0.00	P	532.33	P	0.00	P
USGS	50111210	2017-11-05 22:00	AST	162.254	P	0.01	P	0.00	P	0.00	P	532.33	P	0.00	P
USGS	50111210	2017-11-05 22:15	AST	162.254	P	0.01	P	0.00	P	0.00	P	532.33	P	0.00	P
USGS	50111210	2017-11-05 22:30	AST	162.254	P	0.01	P	0.00	P	0.00	P	532.33	P	0.00	P
USGS	50111210	2017-11-05 22:45	AST	162.254	P	0.01	P	0.00	P	0.00	P	532.33	P	0.00	P
USGS	50111210	2017-11-05 23:00	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-05 23:15	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-05 23:30	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-05 23:45	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-06 00:00	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-06 00:15	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-06 00:30	AST	162.257	P	0.01	P	0.00	P	0.00	P	532.34	P	0.00	P
USGS	50111210	2017-11-06 00:45	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 01:00	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 01:15	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 01:30	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 01:45	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 02:00	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 02:15	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 02:30	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 02:45	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 03:00	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 03:15	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 03:30	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 03:45	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 03:57	AST	162.260	P							532.35	P	0.00	P
USGS	50111210	2017-11-06 04:00	AST	162.260	P	0.01	P	0.00	P	0.00	P	532.35	P	0.00	P
USGS	50111210	2017-11-06 04:15	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 04:30	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 04:45	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 05:00	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 05:15	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 05:30	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 05:45	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 06:00	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 06:15	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 06:30	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 06:45	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 07:00	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 07:15	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 07:30	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 07:45	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 08:00	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 08:15	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 08:30	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 08:45	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 09:00	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 09:15	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 09:30	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 09:45	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 10:00	AST	162.263	P	0.01	P	0.00	P	0.00	P	532.36	P	0.00	P
USGS	50111210	2017-11-06 10:15	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 10:30	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 10:45	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.00	P
USGS	50111210	2017-11-06 11:00	AST	162.266	P	0.01	P	0.00	P	0.00	P	532.37	P	0.01	P
USGS	50111210	2017-11-06 11:15	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 11:30	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 11:45	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 11:57	AST	162.266	P							532.37	P	0.00	P
USGS	50111210	2017-11-06 12:00	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 12:15	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 12:30	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 12:45	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 13:00	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 13:15	AST	162.269	P	0.01	P	0.00	P	0.00	P	532.38	P	0.00	P
USGS	50111210	2017-11-06 13:30	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 13:45	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 14:00	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 14:15	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 14:30	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 14:45	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 15:00	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 15:15	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 15:30	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 15:45	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 16:00	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 16:15	AST	162.272	P	0.01	P	0.00	P	0.00	P	532.39	P	0.00	P
USGS	50111210	2017-11-06 16:30	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 16:45	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 17:00	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 17:15	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 17:30	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 17:45	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 18:00	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 18:15	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 18:30	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 18:45	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 19:00	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 19:15	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 19:30	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 19:45	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 20:00	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 20:15	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 20:30	AST	162.279	P	0.01	P	0.00	P	0.00	P	532.41	P	0.00	P
USGS	50111210	2017-11-06 20:45	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 21:00	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 21:15	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 21:30	AST	162.276	P	0.01	P	0.00	P	0.00	P	532.40	P	0.00	P
USGS	50111210	2017-11-06 21:45	AST	162.279	P	0.01	P	0.00	P	0.00	P	532.41	P	0.00	P
USGS	50111210	2017-11-06 22:00	AST	162.279	P	0.01	P	0.00	P	0.00	P	532.41	P	0.00	P
USGS	50111210	2017-11-06 22:15	AST	162.279	P	0.01	P	0.00	P	0.00	P	532.41	P	0.00	P
USGS	50111210	2017-11-06 22:30	AST	162.279	P	0.01	P	0.00	P	0.00	P	532.41	P	0.00	P
USGS	50111210	2017-11-06 22:45	AST	162.279	P	0.01	P	0.00	P	0.00	P	532.41	P	0.00	P
